sku,当前品类,成本(¥)（销售单价*0.75）【只需填写销售单价即可】,销售单价(¥),缺失项
FWD6603BT,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6603T,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6606,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6611,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6612,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6622,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6643,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6643CTD,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6643S,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6653,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6664,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6665A,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6666,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6683,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6810PM,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6840H,,0,,缺品类 / 缺成本 / 缺销售单价
FWD7235,,0,,缺品类 / 缺成本 / 缺销售单价
FWD7305C,,0,,缺品类 / 缺成本 / 缺销售单价
FWD7305D,,0,,缺品类 / 缺成本 / 缺销售单价
FWD7305F,,0,,缺品类 / 缺成本 / 缺销售单价
FWD7305T,,0,,缺品类 / 缺成本 / 缺销售单价
